Runs,Mins,4s,6s,Pos,Dismissal,Inns,Opposition,Ground,Label 
8,4,2,0,5,bowled,2,v England,Christchurch,not play
11,10,0,1,7,caught,1,v England,Wellington,not play
7,18,0,0,6,caught,2,v England,Napier,not play
58,83,4,2,7,bowled,2,v England,Auckland,play
0,3,0,0,6,caught,2,v England,Dunedin,not play
25,45,4,0,5,bowled,1,v India,Wellington,not play
13,33,2,0,4,bowled,1,v India,Auckland,not play
11,17,1,0,4,bowled,2,v India,Hamilton,not play
32,71,2,0,5,caught,2,v Sri Lanka,Bloemfontein,play
37,51,2,1,5,caught,1,v West Indies,Port Elizabeth,play
DNB,-,-,-,-,-,2,v South Africa,Johannesburg,play
33,28,3,1,5,not out,2,v Bangladesh,Kimberley,play
31,40,2,1,4,caught,2,v Canada,Benoni,play
54,99,3,2,5,bowled,2,v Zimbabwe,Bloemfontein,play
16,35,2,1,5,caught,2,v Australia,Port Elizabeth,not play
20,50,1,0,6,caught,1,v India,Centurion,not play
18*,29,3,0,5,not out,2,v Pakistan,Dambulla,play
14,21,2,0,5,caught,1,v Sri Lanka,Dambulla,not play
9,24,0,0,5,caught,1,v Sri Lanka,Dambulla,not play
28,42,2,1,5,bowled,2,v Pakistan,Dambulla,not play
18,48,3,0,5,caught,2,v Pakistan,Dambulla,not play
TDNB,-,-,-,-,-,-,v India,Chennai,play
27,38,5,0,6,lbw,1,v Australia,Pune,not play
